doc_id,source_url,markdown_url,sentence_id,sentence,category,planned_test_ids
DOC001,https://docs.stripe.com/api/payment_intents,https://docs.stripe.com/api/payment_intents.md,REQ00001,Payment Intents A PaymentIntent guides you through the process of collecting a payment from your customer.,general,TC_ADV_CANCEL_REASON_163
DOC001,https://docs.stripe.com/api/payment_intents,https://docs.stripe.com/api/payment_intents.md,REQ00002,We recommend that you create exactly one PaymentIntent for each order or customer session in your system.,create,TC_ADV_IDEMPOTENCY_SAME_226|TC_ADV_IDEMPOTENCY_SAME_229
DOC001,https://docs.stripe.com/api/payment_intents,https://docs.stripe.com/api/payment_intents.md,REQ00003,You can reference the PaymentIntent later to see the history of payment attempts for a particular session.,general,TC_ADV_CREATE_OK_009
DOC001,https://docs.stripe.com/api/payment_intents,https://docs.stripe.com/api/payment_intents.md,REQ00004,A PaymentIntent transitions through throughout its lifetime as it interfaces with Stripe.js to perform authentication flows and ultimately creates at most one successful charge.,create,TC_ADV_CAPTURE_ERR_153|TC_ADV_CREATE_OK_009
DOC002,https://docs.stripe.com/api/payment_intents/create,https://docs.stripe.com/api/payment_intents/create.md,REQ00005,Create a PaymentIntent Creates a PaymentIntent object.,create,TC_ADV_CONFIRM_AUTO_087|TC_ADV_CREATE_ERR_066|TC_ADV_CREATE_OK_039|TC_ADV_IDEMPOTENCY_SAME_235
DOC002,https://docs.stripe.com/api/payment_intents/create,https://docs.stripe.com/api/payment_intents/create.md,REQ00006,"After the PaymentIntent is created, attach a payment method and to continue the payment.",create,TC_ADV_CANCEL_CAPTURE_179|TC_ADV_CONFIRM_AUTO_085|TC_ADV_CONFIRM_AUTO_095|TC_ADV_IDEMPOTENCY_SAME_227
DOC002,https://docs.stripe.com/api/payment_intents/create,https://docs.stripe.com/api/payment_intents/create.md,REQ00007,"When you use during creation, its equivalent to creating and confirming the PaymentIntent in the same call.",create,TC_ADV_CREATE_OK_004
DOC002,https://docs.stripe.com/api/payment_intents/create,https://docs.stripe.com/api/payment_intents/create.md,REQ00008,You can use any parameters available in the when you supply .,create,TC_ADV_CANCEL_REASON_162|TC_ADV_IDEMPOTENCY_SAME_228
DOC002,https://docs.stripe.com/api/payment_intents/create,https://docs.stripe.com/api/payment_intents/create.md,REQ00009,"Parameters - (integer, required) Amount intended to be collected by this PaymentIntent.",create,
DOC002,https://docs.stripe.com/api/payment_intents/create,https://docs.stripe.com/api/payment_intents/create.md,REQ00010,"A positive integer representing how much to charge in the (e.g., 100 cents to charge $1.00 or 100 to charge 100, a zero-decimal currency).",create,
DOC002,https://docs.stripe.com/api/payment_intents/create,https://docs.stripe.com/api/payment_intents/create.md,REQ00011,The minimum amount is $0.50 US or .,create,
DOC002,https://docs.stripe.com/api/payment_intents/create,https://docs.stripe.com/api/payment_intents/create.md,REQ00012,"The amount value supports up to eight digits (e.g., a value of 99999999 for a USD charge of $999,999.99).",create,
DOC002,https://docs.stripe.com/api/payment_intents/create,https://docs.stripe.com/api/payment_intents/create.md,REQ00013,"- (enum, required) Three-letter , in lowercase.",create,
DOC002,https://docs.stripe.com/api/payment_intents/create,https://docs.stripe.com/api/payment_intents/create.md,REQ00014,"- (object, optional) Provides industry-specific information about the amount.",create,
DOC002,https://docs.stripe.com/api/payment_intents/create,https://docs.stripe.com/api/payment_intents/create.md,REQ00015,"- (integer, optional) The total discount applied on the transaction represented in the .",create,
DOC002,https://docs.stripe.com/api/payment_intents/create,https://docs.stripe.com/api/payment_intents/create.md,REQ00016,This field is mutually exclusive with the field.,create,
DOC002,https://docs.stripe.com/api/payment_intents/create,https://docs.stripe.com/api/payment_intents/create.md,REQ00017,"- (boolean, optional) Set to to return arithmetic validation errors in the response without failing the request.",create,
DOC002,https://docs.stripe.com/api/payment_intents/create,https://docs.stripe.com/api/payment_intents/create.md,REQ00018,Use this when you want the operation to proceed regardless of arithmetic errors in the line item data.,create,
